PB	C4265	C0334489
CECC	C6344	C1332912
LMS	C3158	C0023269
SM	C9235	C0221013
SEM	C9309	C0036631
STAD	C4004	C0278701
DTE	C27524	C0432526
TESTIS	C12412	C0039597
POCA	C5560	C1266065
SGAD	C3682	C1883403
SCBC	C9461	C1332564
LCIS	C4018	C0279563
DIG	C4738	C1321878
DMBL	C4956	C0751291
ANSC	C9161	C1412036
UTERUS	C12405	C0042149
OS	C9145	C0029463
MYCF	C3246	C0026948
SARCL	C45540	C1708781
IMTB	C6177	C1336891
ODG	C3288	C0751396
ESS	C8973	C0206630
CCHM	C47847	C1707042
NFIB	C3272	C0027830
PEL	C6915	C1292753
MRLS	C27781	C0206634
GCTB	C121932	C0206638
PINC	C6966	C0917890
GS	C4221	C1266111
MT	C9305	C0006826
GIST	C3868	C0238198
BMGT	C7015	C1336704
BRAIN	C12438	C3714787
AML	C3171	C0023467
SPIR	C4170	C0334347
CCM	C4722	C0431121
UCA	C9106	C0700101
THYROID	C12400	C0040132
MPT	C4504	C0346154
PSTT	C3757	C0206666
LECLC	C45519	C1708792
PPB	C5669	C1266144
OSMCA	C40090	C0279392
BFN	C40405	C1511309
RMS	C3359	C0035412
THPA	C4035	C0238463
CMML	C3178	C0023480
SCOS	C4023	C0279622
CHRCC	C4146	C1266042
PNS	C12465	C0206417
AA	C6936	C1306242
ANM	C4051	C0259785
ATRT	C6906	C1266184
UEC	C6287	C1336905
PRNE	C5545	C1335515
VMA	C40252	C1519925
ASTR	C60781	C0004114
GB	C3058	C0017636
VA	C7981	C0279668
GNG	C3788	C0206716
MOV	C5242	C1335168
GNC	C6934	CL378224
APE	C4049	C0280788
GSARC	C3796	C0206726
FA	C3744	C0206650
BLAD	C4032	C0279682
EOV	C7979	C0346163
RBL	C7541	C0035335
STMYEC	C7596	C0334699
ANGL	C92552	C2363903
AGNG	C4717	C0431112
MSCC	C5177	C1336079
SOFT_TISSUE	C12471	C0225317
NST	C4972	C0206727
CCRCC	C4033	C0279702
CEAS	C4519	C0346202
UUC	C6345	C0850327
THYMUS	C12433	C0040113
UCEC	C7558	C0476089
CSCLC	C9137	C0334240
SMZL	C4663	C0349632
BMT	C7013	C1332886
UCCA	C27246	C0279677
MPN	C4345	C1292778
PHM	C4293	C0334529
USTAD	C5476	C1336858
CPC	C4715	C0431109
SKCM	C3510	C0151779
ACC	C9325	C0206686
MLYM	C3208	C0024299
IDCS	C9282	C1260326
SRCC	C27893	C1266043
BL	C2912	C0006413
BRAME	C6899	C1510795
TRCC	C27891	C1337036
SCSRMS		CL494117
PAAC	C7977	C0279661
CACC	C6346	C1332911
PINT	C3328	C1412004
IHM	C6985	C0008493
SRCCR	C9168,C7967	C0279654,C1707436
MCL	C4337	C0334634
ACA	C9003	C0206667
PLEURA	C12469	C0032225
OIMT	C8111	C0346182
VGCE	C40208	C1516425
IAMPCA	C27415	C1332247
UELMS	C40174	C1519851
PRSC	C5536	C1302530
CESC	C4028	C0279671
PPTID	C6967	C1367859
CCOV	C40076	C0346164
SYNS	C3400	C0039101
ERMS	C8971	C0206656
EYE	C12401	C0015392
CUP	C3812	C0220647
UM	C7712	C0220633
RAML	C3888	C0241961
WM	C80307	C0024419
CHOL	C4436	C0206698
OTHER	C17649	C0205394
OCSC	C4833	C0585362
ANGS	C3088	C0018923
GEJ	C9296	C1332166
BOWEL	C12736	C0021853
CPP	C3698	C0205770
WT		CL343552
THYC	C7569	C0205969
TET	C6450	C1266101
HGNEC	C96156	C3272607
AODG	C4326	C0334590
PORO	C27273	C1533161
ILC	C7950	C0279565
HTAT	C6846	C1266049
LDD	C8419	C0391826
PBT	C4952	C0750974
ULM	C3434	C0042133
NMCHN	C45716	C1707291
UMLMS	C40175	C1519861
HEAD_NECK	C12418	C0460004
UDMN	C36051	C1336860
ACRM	C4022	C0346037
PHC	C3326	C0031511
DNT	C9505	C1266177
GRCT	C3070	C0018206
PENIS	C12409	C0030851
ACYC	C2970	C0010606
VPSCC	C6982	C1336955
CEEN	C3769	C0206687
CHS	C2946	C0008479
PTAD	C3329	C0032000
ESMM	C5707	C1333460
MNG	C3230	C0025286
LIPO	C3194	C0023827
BEC	C7010	C1333377
CPT	C3473	C0085138
HPHSC	C4043	C0280321
LIHB	C3728	C0206624
DCIS	C2924	C0007124
TT	C3877	C0238451
MNGT	C3229	C0025284
ESCA	C4025	C0279628
CCBOV	C40080	C0279676
MCC	C9231	C0007129
ECD	C53972	C0878675
URCC	C27892	C1336853
DIPG	C94764	C2986658
HCL	C7402	C0023443
URCA	C39842	C1511205
USMT	C40176	C1519863
OMT	C8112	C1334637
ULMS	C6340	C0280631
MRT	C3808	C0206743
SEF	C49027	C1710026
AECA	C6938	C1412016
CENE	C40214	C1516417
LUCA	C4038	C0280089
TEOS	C3902	C0259782
