ONC000293	EYE
ONC000294	RBL
ONC000295	OM
ONC000296	UM
ONC000297	CM
ONC000298	HEAD_NECK
ONC000299	OHNCA
ONC000300	EMYOCA
ONC000301	HNNE
ONC000302	NMCHN
ONC000303	ODGC
ONC000304	CCOC
ONC000305	SNA
ONC000306	SNUC
ONC000307	HNMUCM
ONC000308	HNSC
ONC000309	HNSCUP
ONC000310	HPHSC
ONC000311	OCSC
ONC000312	OPHSC
ONC000313	LXSC
ONC000314	SNSC
ONC000315	NPC
ONC000316	SACA
ONC000317	ACCC
ONC000318	ACYC
ONC000319	HNMASC
ONC000320	MUCC
ONC000321	MYEC
ONC000322	SAAD
ONC000323	OSACA
ONC000324	SDCA
ONC000325	SGO
ONC000326	CCRCC
ONC000327	RCC
ONC000328	KIDNEY
ONC000329	SCCRCC
ONC000330	NCCRCC
ONC000331	CHRCC
ONC000332	CCPRC
ONC000333	CDRCC
ONC000334	PRCC
ONC000335	RAML
ONC000336	MRC
ONC000337	MTSCC
ONC000338	ROCY
ONC000339	RSCC
ONC000340	SRCC
ONC000341	URCC
ONC000342	TRCC
ONC000343	WT
ONC000344	MRT
ONC000345	LIVER
ONC000346	FLC
ONC000347	LIHB
ONC000348	LIAD
ONC000349	HCC
ONC000350	HCCIHCH
ONC000351	LIAS
ONC000352	LIMNET
ONC000353	LYMPH
ONC000354	HL
ONC000355	CHL
ONC000356	NLPHL
ONC000357	NHL
ONC000358	BCL	MBN
ONC000359	BL
ONC000360	DLBCL
ONC000361	MALTL	EMALT
ONC000362	FL
ONC000363	MCL
ONC000364	MZL
ONC000365	MBCL	PMBL
ONC000366	NMZL
ONC000367	PCNSL
ONC000368	PEL
ONC000369	SLL	CLLSLL
ONC000370	SMZL
ONC000371	WM
ONC000372	TNKL	MTNN
ONC000373	CTCL
ONC000374	MYCF
ONC000375	SEZS
ONC000376	PTCL
ONC000377	ALCL
ONC000378	AITL
ONC000379	PTCLNOS
ONC000380	RD	RDD
ONC000381	LUNG
ONC000382	CSCLC
ONC000383	IMTL
ONC000384	LAIS
ONC000385	LNET
ONC000386	ALUCA
ONC000387	LUNE
ONC000388	LUCA
ONC000389	SCLC
ONC000390	NSCLC
ONC000391	CMPT
ONC000392	LCLC
ONC000393	BLCLC
ONC000394	CCLC
ONC000395	GCLC
ONC000396	RLCLC
ONC000397	LECLC
ONC000398	LUAD
ONC000399	LUAS
ONC000400	LUSC
ONC000401	LUPC
ONC000402	NSCLCPD
ONC000403	SGTTL
ONC000404	LUACC
ONC000405	LUMEC
ONC000406	SpCC	SPCC
ONC000407	PPB
ONC000408	LAM
ONC000409	SARCL
ONC000410	OVARY
ONC000411	OOVC
ONC000412	HGONEC
ONC000413	OVT
ONC000414	BTOV
ONC000415	BTMOV
ONC000416	BTBOV
ONC000417	BTBEOV
ONC000418	CCOV
ONC000419	CCBOV
ONC000420	EOV
ONC000421	EBOV
ONC000422	MXOV
ONC000423	SOC
ONC000424	HGSOC
ONC000425	LGSOC
ONC000426	MOV
ONC000427	MBOV
ONC000428	OCS
ONC000429	OSMAD
ONC000430	OSMBT
ONC000431	OSMCA
ONC000432	SCCO
ONC000433	SBOV
ONC000434	SBMOV
ONC000435	ODYS
ONC000436	OGCT
ONC000437	OEC
ONC000438	OIMT
ONC000439	OMT
ONC000440	OMGCT
ONC000441	OPE
ONC000442	OYST
ONC000443	OGBL
ONC000444	SCST
ONC000445	GRCT
ONC000446	FT	MFT
ONC000447	SLCT
ONC000448	SCT
ONC000449	PANCREAS
ONC000450	PAAC
ONC000451	PAASC
ONC000452	PACT
ONC000453	IPMN
ONC000454	MCN
ONC000455	PSC
ONC000456	PAAD
ONC000457	PANET
ONC000458	PB
ONC000459	SPN
ONC000460	UCP
ONC000461	PENIS
ONC000462	PSCC
ONC000463	BPSCC
ONC000464	VPSCC
ONC000465	WPSCC
ONC000466	PERITONEUM
ONC000467	PEMESO
ONC000468	PLEURA
ONC000469	PLMESO
ONC000470	PLBMESO
ONC000471	PLEMESO
ONC000472	PLSMESO
ONC000473	PROSTATE
ONC000474	PRAD
ONC000475	PRNE
ONC000476	PRSCC
ONC000477	PRSC
